Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
19.249992,0.343000,0.246000,0.004800
19.299992,0.344000,0.249000,0.004800
19.349991,0.344000,0.249000,0.004800
19.399990,0.344000,0.249000,0.004800
19.449989,0.344000,0.249000,0.004800
19.499989,0.344000,0.247000,0.004800
19.549988,0.344000,0.247000,0.004800
19.599987,0.339000,0.233000,0.004800
19.649986,0.335000,0.224000,0.004800
19.699986,0.332000,0.201000,0.004800
19.749985,0.332000,0.201000,0.004800
19.799984,0.326000,0.180000,0.004800
19.849983,0.326000,0.180000,0.004800
19.899982,0.324000,0.173000,0.004800
19.949982,0.321000,0.166000,0.004800
19.999981,0.318000,0.159000,0.004800
20.049980,0.317000,0.155000,0.004800
20.099979,0.313000,0.144000,0.004800
20.149979,0.313000,0.144000,0.004800
20.199978,0.311000,0.141000,0.004800
20.249977,0.310000,0.137000,0.004800
20.299976,0.309000,0.133000,0.004800
20.349976,0.307000,0.130000,0.004800
20.399975,0.304000,0.122000,0.004800
20.449974,0.301000,0.119000,0.004800
20.499973,0.297000,0.116000,0.004800
20.549973,0.292000,0.110000,0.004800
20.599972,0.285000,0.112000,0.004800
20.649971,0.279000,0.106000,0.004800
20.699970,0.275000,0.107000,0.004800
20.749969,0.271000,0.105000,0.004800
20.799969,0.265000,0.103000,0.004800
20.849968,0.262000,0.103000,0.004800
20.899967,0.258000,0.105000,0.004800
20.949966,0.253000,0.107000,0.004800
20.999966,0.246000,0.110000,0.004800
21.049965,0.241000,0.112000,0.004800
21.099964,0.236000,0.113000,0.004800
21.149963,0.232000,0.115000,0.004800
21.199963,0.225000,0.118000,0.004800
21.249962,0.225000,0.118000,0.004800
21.299961,0.224000,0.123000,0.004800
21.349960,0.219000,0.125000,0.004800
21.399960,0.219000,0.129000,0.004800
21.449959,0.216000,0.135000,0.004800
21.499958,0.216000,0.135000,0.004800
21.549957,0.216000,0.139000,0.004800
21.599957,0.216000,0.143000,0.004800
21.649956,0.214000,0.144000,0.004800
21.699955,0.213000,0.149000,0.004800
21.749954,0.213000,0.157000,0.004800
21.799953,0.214000,0.165000,0.004800
21.849953,0.214000,0.165000,0.004800
21.899952,0.215000,0.174000,0.004800
21.949951,0.216000,0.182000,0.004800
21.999950,0.217000,0.190000,0.004800
22.049950,0.218000,0.198000,0.004800
22.099949,0.218000,0.202000,0.004800
22.149948,0.218000,0.205000,0.004800
22.199947,0.220000,0.209000,0.004800
22.249947,0.220000,0.213000,0.004800
22.299946,0.221000,0.217000,0.004800
22.349945,0.222000,0.220000,0.004800
22.399944,0.222000,0.224000,0.004800
22.449944,0.223000,0.228000,0.004800
22.499943,0.222000,0.229000,0.004800
22.549942,0.221000,0.233000,0.004800
22.599941,0.222000,0.236000,0.004800
22.649940,0.221000,0.237000,0.004800
22.699940,0.220000,0.242000,0.004800
22.749939,0.220000,0.242000,0.004800
22.799938,0.211000,0.245000,0.004800
22.849937,0.209000,0.246000,0.004800
22.899937,0.209000,0.246000,0.004800
22.949936,0.207000,0.247000,0.004800
22.999935,0.204000,0.248000,0.004800
23.049934,0.198000,0.250000,0.004800
23.099934,0.198000,0.250000,0.004800
23.149933,0.188000,0.247000,0.004800
23.199932,0.188000,0.247000,0.004800
23.249931,0.180000,0.242000,0.004800
23.299931,0.175000,0.237000,0.004800
23.349930,0.167000,0.232000,0.004800
23.399929,0.161000,0.226000,0.004800
23.449928,0.156000,0.220000,0.004800
23.499928,0.144000,0.212000,0.004800
23.549927,0.144000,0.212000,0.004800
23.599926,0.140000,0.209000,0.004800
23.649925,0.136000,0.202000,0.004800
23.699924,0.131000,0.192000,0.004800
23.749924,0.127000,0.189000,0.004800
23.799923,0.123000,0.182000,0.004800
23.849922,0.122000,0.178000,0.004800
23.899921,0.122000,0.178000,0.004800
23.949921,0.120000,0.174000,0.004800
23.999920,0.118000,0.171000,0.004800
24.049919,0.116000,0.167000,0.004800
24.099918,0.114000,0.163000,0.004800
24.149918,0.111000,0.156000,0.004800
24.199917,0.109000,0.152000,0.004800
24.249916,0.107000,0.148000,0.004800
24.299915,0.107000,0.148000,0.004800
24.349915,0.105000,0.145000,0.004800
24.399914,0.107000,0.144000,0.004800
24.449913,0.107000,0.139000,0.004800
24.499912,0.110000,0.138000,0.004800
24.549911,0.109000,0.134000,0.004800
24.599911,0.110000,0.133000,0.004800
24.649910,0.110000,0.133000,0.004800
24.699909,0.112000,0.132000,0.004800
24.749908,0.112000,0.132000,0.004800
24.799908,0.112000,0.132000,0.004800
24.849907,0.115000,0.131000,0.004800
24.899906,0.117000,0.130000,0.004800
24.949905,0.120000,0.129000,0.004800
24.999905,0.120000,0.129000,0.004800
25.049904,0.120000,0.129000,0.004800
25.099903,0.120000,0.129000,0.004800
25.149902,0.120000,0.129000,0.004800
25.199902,0.120000,0.129000,0.004800
25.249901,0.120000,0.129000,0.004800
25.299900,0.121000,0.132000,0.004800
25.349899,0.121000,0.132000,0.004800
25.399899,0.123000,0.136000,0.004800
25.449898,0.125000,0.140000,0.004800
25.499897,0.127000,0.144000,0.004800
25.549896,0.129000,0.147000,0.004800
25.599895,0.132000,0.155000,0.004800
25.649895,0.132000,0.155000,0.004800
25.699894,0.136000,0.162000,0.004800
25.749893,0.136000,0.167000,0.004800
25.799892,0.139000,0.174000,0.004800
25.849892,0.139000,0.179000,0.004800
25.899891,0.140000,0.182000,0.004800
25.949890,0.140000,0.187000,0.004800
25.999889,0.140000,0.191000,0.004800
26.049889,0.141000,0.195000,0.004800
26.099888,0.142000,0.198000,0.004800
26.149887,0.141000,0.199000,0.004800
26.199886,0.142000,0.203000,0.004800
26.249886,0.138000,0.205000,0.004800
26.299885,0.138000,0.209000,0.004800
26.349884,0.137000,0.214000,0.004800
26.399883,0.134000,0.219000,0.004800
26.449883,0.132000,0.220000,0.004800
26.499882,0.127000,0.222000,0.004800
26.549881,0.125000,0.223000,0.004800
26.599880,0.120000,0.224000,0.004800
26.649879,0.116000,0.226000,0.004800
26.699879,0.114000,0.227000,0.004800
26.749878,0.107000,0.230000,0.004800
26.799877,0.102000,0.232000,0.004800
26.849876,0.100000,0.233000,0.004800
26.899876,0.095000,0.234000,0.004800
26.949875,0.091000,0.233000,0.004800
26.999874,0.085000,0.231000,0.004800
27.049873,0.085000,0.231000,0.004800
27.099873,0.077000,0.226000,0.004800
27.149872,0.077000,0.226000,0.004800
27.199871,0.066000,0.217000,0.004800
27.249870,0.049000,0.211000,0.004800
27.299870,0.049000,0.211000,0.004800
27.349869,0.043000,0.205000,0.004800
27.399868,0.037000,0.199000,0.004800
27.449867,0.033000,0.192000,0.004800
27.499866,0.026000,0.185000,0.004800
27.549866,0.018000,0.175000,0.004800
27.599865,0.012000,0.164000,0.004800
27.649864,0.012000,0.164000,0.004800
